Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0041506,0.041154,0.0099459,0,0,0,0.59941,0.00068165,1.7673E-06,-1.7455E-08,9.1178E-05,1.7154E-06,0.00073294,0,0,0,0,0,0,package://atomgrip2/meshes/base_link.STL,1,0.72157,0.32941,1,0,0,0,0,0,0,package://atomgrip2/meshes/base_link.STL,acrylic,Base de disco giratorio-1,base1link_cs <Base de disco giratorio-1>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base2_link,0.012638,-0.037744,0.046001,0,0,0,2.738,0.0055958,6.904E-05,4.03E-05,0.009201,1.8519E-05,0.0048548,0,0,0,0,0,0,package://atomgrip2/meshes/base2_link.STL,1,0.72157,0.32941,1,0,0,0,0,0,0,package://atomgrip2/meshes/base2_link.STL,acrylic,Disco Giratorio-1,base2link_cs <Disco Giratorio-1>,base2link_axis <Disco Giratorio-1>,base2_joint,revolute,-0.045599,-0.0048119,0.072,1.5708,0,1.4828,base_link,0,0,1,10,1,0,3.141,,,,,,,,
shoulder2elbow1_link,-0.06,0,-0.0022,0,0,0,0.53191,6.1002E-05,-1.6941E-21,-1.5185E-06,0.0011553,-6.7763E-20,0.0011967,0,0,0,0,0,0,package://atomgrip2/meshes/shoulder2elbow1_link.STL,1,0.72157,0.32941,1,0,0,0,0,0,0,package://atomgrip2/meshes/shoulder2elbow1_link.STL,acrylic,Articulacion 1.1-1,shoulder2elbow1_cs <Articulacion 1.1-1>,shoulder2elbow1_axis <Articulacion 1.1-1>,shoulder2elbow1_joint,revolute,-0.116748366027927,0.0277456128029101,0.0753000000000001,-3.14159265358979,0,2.90826791887128,base2_link,0,0,-1,10,1,0,3.141,,,,,,,,
elbow2twist1_link,0.059349,5.5401E-10,0.0075,0,0,0,0.63576,7.6234E-05,8.2711E-13,1.7362E-12,0.002212,3.7303E-13,0.0022649,0,0,0,0,0,0,package://atomgrip2/meshes/elbow2twist1_link.STL,1,0.72157,0.32941,1,0,0,0,0,0,0,package://atomgrip2/meshes/elbow2twist1_link.STL,acrylic,Articulacion 2.1-1,elbow2twist1_cs <Articulacion 2.1-1>,elbow2twist1_axis <Articulacion 2.1-1>,elboe2twist1_joint,revolute,0,0,0.0053,0,0,-0.65706,shoulder2elbow1_link,0,0,1,10,1,0,3.141,,,,,,,,
twist_link,1.0197E-08,0.039066,0.037138,0,0,0,0.54181,0.001388,1.9703E-10,-5.7397E-10,0.00077126,7.8041E-06,0.0006648,0,0,0,0,0,0,package://atomgrip2/meshes/twist_link.STL,1,0.72157,0.32941,1,0,0,0,0,0,0,package://atomgrip2/meshes/twist_link.STL,acrylic,Articulacion 3.1-1,twist_cs <Articulacion 3.1-1>,twist_axis <Articulacion 3.1-1>,twist_joint,continuous,0.12,0,0.075,3.14159265358979,0,1.5707963267949,elbow2twist1_link,0,0,-1,10,1,0,0,,,,,,,,
Gripper1_link,-4.1633E-17,-8.3267E-17,0.0014445,0,0,0,0.00030803,1.5786E-08,5.7644E-24,-2.4815E-24,1.7248E-09,-1.3222E-23,1.6402E-08,0,0,0,0,0,0,package://atomgrip2/meshes/Gripper1_link.STL,0,0,0,1,0,0,0,0,0,0,package://atomgrip2/meshes/Gripper1_link.STL,,Gripper1-1,gripper1_cs <Gripper1-1>,gripper1_axis <Gripper1-1>,Gripper1_joint,revolute,0,0.095,0.0375000000000007,1.5707963267949,1.35577902233564,0,twist_link,0,0,-1,0,0,0,3.141,,,,,,,,
Gripper2.1_link,2.7756E-17,0.0009025,0.0027341,0,0,0,0.0008027,2.0453E-08,2.0059E-23,1.7371E-23,4.0135E-08,5.6989E-09,3.2214E-08,0,0,0,0,0,0,package://atomgrip2/meshes/Gripper2.1_link.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://atomgrip2/meshes/Gripper2.1_link.STL,,Gripper2-2,gripper2_cs <Gripper2-2>,gripper2_axis <Gripper2-1>,Gripper2.1_joint,continuous,0,0.00699999999999873,-0.00200000000000033,-3.14159265358979,0,-3.14159265358979,Gripper1_link,0,0,-1,,,,,,,,,,,,
Gripper2.2_link,-1.3878E-17,0.0009025,0.0027341,0,0,0,0.0008027,2.0453E-08,-3.9291E-24,-5.7903E-24,4.0135E-08,5.6989E-09,3.2214E-08,0,0,0,0,0,0,package://atomgrip2/meshes/Gripper2.2_link.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://atomgrip2/meshes/Gripper2.2_link.STL,,Gripper2-1,gripper2_cs <Gripper2-1>,gripper2_axis <Gripper2-1>,Gripper2.2_joint,continuous,0,-0.00700000000000017,-0.002,3.14159265358979,0,0,Gripper1_link,0,0,-1,,,,,,,,,,,,
Gripper3_link,-0.00048983,0.0015,-0.031355,0,0,0,0.004188,1.3729E-06,9.6634E-15,4.0101E-08,2.0003E-06,-2.9343E-15,6.3361E-07,0,0,0,0,0,0,package://atomgrip2/meshes/Gripper3_link.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://atomgrip2/meshes/Gripper3_link.STL,,Gripper3-1,gripper3_cs <Gripper3-1>,gripper3_axis <Gripper3-1>,Gripper3_joint,continuous,0,-0.0119999999999988,0.00499999999999998,-3.14159265358979,0,3.14159265358979,Gripper2.2_link,0,0,-1,,,,,,,,,,,,
Gripper4.1_link,-0.0056632,0.0013462,0.0015,0,0,0,0.0019628,6.8163E-08,2.0959E-08,-2.7297E-23,2.7804E-07,-4.6322E-23,3.4326E-07,0,0,0,0,0,0,package://atomgrip2/meshes/Gripper4.1_link.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://atomgrip2/meshes/Gripper4.1_link.STL,,Gripper4-1,gripper4_cs <Gripper4-1>,gripper4_axis <Gripper4-1>,Gripper4.1_joint,revolute,-0.0135,0.00300000000000003,-0.037599715906798,-1.57079632679489,-1.32411184003195,0,Gripper3_link,0,0,-1,0,0,-3.141,3.141,,,,,,,,
